Id Localidad,Nombre,Id Provincia,Nombre_Normalizado,ZonaId,Descripcion
8753,INGENIERO MASCHWITZ,2,INGENIERO MASCHWITZ,2,2 - BUENOS AIRES
8754,LA GRACIELITA,2,LA GRACIELITA,2,2 - BUENOS AIRES
8755,"PUNTA DE CANAL ,APEADERO FCGM",2,"PUNTA DE CANAL ,APEADERO FCGM",2,2 - BUENOS AIRES
8756,BELEN DE ESCOBAR,2,BELEN DE ESCOBAR,2,2 - BUENOS AIRES
8757,CAMPOMAR,2,CAMPOMAR,2,2 - BUENOS AIRES
8758,ESCOBAR,2,ESCOBAR,2,2 - BUENOS AIRES
8759,"LOMA VERDE ,ESCOBAR, PTDO. ESC",2,"LOMA VERDE ,ESCOBAR, PTDO. ESC",2,2 - BUENOS AIRES
8760,RINCON DEL CAZADOR,2,RINCON DEL CAZADOR,2,2 - BUENOS AIRES
8761,VILLA LA CHECHELA,2,VILLA LA CHECHELA,2,2 - BUENOS AIRES
8762,VILLA VALLIER,2,VILLA VALLIER,2,2 - BUENOS AIRES
8763,MATHEU,2,MATHEU,2,2 - BUENOS AIRES
8764,ZELAYA,2,ZELAYA,2,2 - BUENOS AIRES
8765,BARRIO SAN ALEJO,2,BARRIO SAN ALEJO,2,2 - BUENOS AIRES
8766,ESTABLECIMIENTO SAN MIGUEL,2,ESTABLECIMIENTO SAN MIGUEL,2,2 - BUENOS AIRES
8767,"KM. 52,350 ,APEADERO FCGSM",2,"KM. 52,350 ,APEADERO FCGSM",2,2 - BUENOS AIRES
8768,"KM. 61 ,APEADERO FCGB",2,"KM. 61 ,APEADERO FCGB",2,2 - BUENOS AIRES
8769,MANZANARES,2,MANZANARES,2,2 - BUENOS AIRES
8770,PILAR,2,PILAR,2,2 - BUENOS AIRES
8771,VILLA AGUEDA,2,VILLA AGUEDA,2,2 - BUENOS AIRES
8772,VILLA BUIDE,2,VILLA BUIDE,2,2 - BUENOS AIRES
8773,VILLA SANTA MARIA,2,VILLA SANTA MARIA,2,2 - BUENOS AIRES
8774,VILLA VERDE,2,VILLA VERDE,2,2 - BUENOS AIRES
8775,VILLA ROSA,2,VILLA ROSA,2,2 - BUENOS AIRES
8776,EMPALME,2,EMPALME,2,2 - BUENOS AIRES
8777,FATIMA,2,FATIMA,2,2 - BUENOS AIRES
8778,MANZONE,2,MANZONE,2,2 - BUENOS AIRES
8779,"TOMAS SANTA COLONA ,APEADERO F",2,"TOMAS SANTA COLONA ,APEADERO F",2,2 - BUENOS AIRES
8780,"JUAN VUCETICH ,APEADERO FCGU",2,"JUAN VUCETICH ,APEADERO FCGU",2,2 - BUENOS AIRES
